Pc,Dc,Tc,Pl,Dl,Tl
9.99,11.56,12.12,11.62,11.86,11.74
12.18,12.64,11.88,12.3,11.4,11.31
2.27,13.64,14.32,15.15,15.98,14.06
12.14,12.96,12.37,13.36,13.8,11.02
11.94,11.4,10.86,10.38,10.36,11.16
11.7,8.64,12.32,11.04,10.65,11.55
9.49,10.52,10.84,11.96,12.32,10.97
13.1,12.11,12.9,12.26,14.4,11.78
10.99,9.2,9.88,8.68,9.75,12.35
12.23,11.78,12.54,11.64,10.26,10.7
11.62,11.6,11.43,10.22,10.06,11.22
13.86,14.52,12.8,10.82,9.9,10.42
8.76,8.09,9.06,11.58,11.0,11.76
10.4,10.93,9.62,10.14,11.02,10.58
16.12,16.69,14.59,14.4,12.98,12.66
11.93,12.33,12.63,15.15,14.22,14.03
9.34,12.26,10.0,12.94,11.39,12.71
11.58,14.54,11.61,12.77,12.93,14.36
13.33,15.16,13.42,15.42,15.36,12.23
17.55,18.04,18.55,18.78,18.82,18.77
8.22,8.76,8.94,11.32,10.72,10.3
10.76,9.35,10.4,10.42,9.11,10.85
12.24,11.88,15.05,14.89,16.07,13.05
9.12,9.79,11.8,10.01,8.93,11.72
6.34,8.14,7.67,11.06,10.34,10.09
7.96,11.14,9.92,14.09,13.82,14.07
8.68,7.06,9.16,11.32,11.94,10.1
12.78,12.16,11.59,12.72,10.88,11.35
17.31,15.66,16.67,15.29,13.37,9.15
8.46,6.91,9.37,11.4,11.5,12.15
9.52,9.4,9.8,9.96,11.02,13.05
11.04,14.37,12.84,12.7,12.3,13.62
8.8,8.1,9.49,10.27,10.63,9.84
8.93,11.3,10.19,11.2,11.01,10.54
10.7,9.55,10.79,10.04,9.9,10.5
2.27,10.22,9.11,11.82,12.74,11.31
12.42,12.08,9.61,12.88,10.86,13.35
11.28,11.4,11.53,14.1,13.65,11.45
9.25,9.75,9.94,13.58,11.47,10.34
9.12,9.66,9.27,12.1,11.02,11.59
14.84,15.38,14.46,12.39,14.19,11.92
2.27,16.0,16.09,12.6,13.7,13.85
15.88,15.8,15.94,16.48,14.58,15.59
13.66,12.45,10.19,9.88,10.56,10.73
6.61,8.38,8.64,10.57,9.98,10.17
9.16,11.27,11.19,13.06,13.89,13.79
2.27,14.12,14.18,12.86,12.44,13.19
11.53,9.94,9.34,11.86,11.34,12.88
13.44,14.38,12.88,12.7,11.19,11.91
9.68,9.22,10.44,9.65,10.07,10.15
16.07,15.42,14.83,15.0,13.26,14.63
16.14,14.14,15.45,14.58,13.22,15.11
5.58,7.65,9.41,11.15,12.37,10.85
10.48,10.26,10.29,13.5,13.52,10.93
2.27,13.18,14.92,16.1,16.87,17.95
9.64,10.56,9.65,11.13,10.42,0.0
16.31,17.27,16.21,15.12,14.56,15.94
4.96,8.5,9.56,9.86,10.01,10.83
10.48,11.22,9.35,10.28,10.57,11.17
5.78,8.91,9.98,9.5,11.96,12.35
6.1,11.05,10.18,9.38,10.16,11.78
8.14,9.61,9.3,11.66,12.34,11.5
10.14,7.82,9.19,10.89,11.84,11.79
5.82,8.18,11.1,12.6,9.27,0.0
14.08,15.18,14.47,14.65,13.35,14.1
7.48,7.86,10.96,14.46,13.44,13.3
6.2,7.9,10.45,9.87,11.14,11.32
9.54,8.59,9.7,11.78,11.02,10.65
14.92,14.48,12.77,13.3,11.91,11.37
12.26,11.79,9.61,11.82,10.0,11.92
8.33,7.53,10.39,10.68,11.01,10.7
18.1,19.06,18.92,17.64,16.98,18.04
10.12,9.51,11.52,11.86,10.85,11.47
11.66,12.83,12.54,12.19,12.54,12.34
9.96,7.05,9.85,9.89,11.3,11.28
12.96,15.26,12.28,16.85,15.72,13.98
6.86,8.95,7.86,11.77,11.2,10.7
9.4,11.38,11.39,10.26,9.89,6.82
5.48,7.82,10.81,10.42,10.07,10.97
12.0,13.24,11.97,13.34,12.93,11.54
7.1,9.88,10.23,10.88,9.74,0.0
11.87,13.96,10.12,14.25,13.6,14.2
9.18,9.92,9.98,12.72,11.99,11.5
9.59,4.12,9.13,10.74,10.16,11.05
9.76,9.23,9.07,12.33,12.84,12.09
17.31,18.01,17.46,16.2,15.04,15.91
2.27,13.01,12.65,11.0,12.7,11.68
2.27,4.25,10.04,10.16,10.77,10.07
16.65,16.73,15.34,14.85,15.7,16.66
11.73,11.78,13.11,15.22,15.29,14.76
14.46,14.26,12.01,13.15,10.48,10.2
6.89,10.01,8.12,12.56,10.64,12.3
2.27,7.14,9.69,11.15,10.82,10.71
9.5,8.76,9.96,11.99,13.68,12.25
8.86,9.38,9.21,9.85,9.98,11.76
16.3,16.24,16.37,15.58,15.52,12.91
10.95,12.92,12.79,12.04,11.32,12.82
2.27,4.25,5.80,7.74,8.93,10.32
14.94,15.64,13.24,17.09,15.82,14.95
2.27,12.62,9.54,13.62,12.68,11.66
15.29,14.4,12.69,14.3,11.88,12.07
13.07,10.07,11.22,13.6,13.54,10.88
14.22,12.96,10.18,10.0,10.38,11.89
11.15,7.83,11.14,13.03,11.75,11.04
8.27,10.9,11.12,13.34,12.37,11.12
7.02,7.5,10.9,12.18,12.36,10.98
9.39,6.72,11.02,11.58,12.1,10.12
7.31,10.9,10.93,9.62,12.24,0.0
10.74,9.67,10.49,10.26,11.59,12.31
15.83,15.52,15.03,16.42,15.26,15.35
17.55,17.43,17.15,16.97,16.71,14.29
2.27,9.24,9.82,10.18,10.19,11.02
10.26,9.08,12.7,13.76,9.92,10.76
7.43,9.83,10.1,11.09,9.78,10.75
7.5,6.2,9.65,11.7,11.42,10.01
13.34,12.71,11.15,11.15,12.71,12.2
5.67,9.79,10.8,9.5,10.26,12.76
9.19,9.4,11.22,11.98,9.58,10.34
15.18,13.14,13.21,14.4,15.1,13.7
10.7,11.68,11.34,12.3,12.6,10.99
6.61,10.76,8.44,12.64,10.54,12.98
6.77,7.97,9.09,10.18,10.72,10.49
13.1,13.62,11.94,13.28,11.76,11.37
8.4,8.09,9.29,11.72,10.15,11.56
10.04,9.98,12.06,12.74,11.84,10.52
5.58,10.15,8.42,10.98,10.46,12.37
16.73,16.91,15.77,13.93,13.24,13.68
13.53,12.04,12.09,15.5,14.57,13.62
15.38,15.16,15.47,16.27,15.82,12.15
15.58,13.69,12.95,11.79,10.02,12.42
13.15,12.8,10.67,10.02,10.72,9.5
12.26,13.54,9.03,12.17,12.11,13.62
11.32,6.6,10.33,11.69,12.04,11.14
